,time,mass
0,0.00e+00,6.12e+01
1,2.00e-01,6.12e+01
2,4.00e-01,6.12e+01
3,5.99e-01,6.12e+01
4,8.00e-01,6.12e+01
5,9.99e-01,6.12e+01
6,1.20e+00,6.12e+01
7,1.40e+00,6.12e+01
8,1.60e+00,6.12e+01
9,1.80e+00,6.12e+01
10,2.00e+00,6.12e+01
11,2.20e+00,6.12e+01
12,2.40e+00,6.12e+01
13,2.60e+00,6.12e+01
14,2.80e+00,6.12e+01
15,3.00e+00,6.12e+01
16,3.20e+00,6.12e+01
17,3.40e+00,6.11e+01
18,3.60e+00,6.11e+01
19,3.80e+00,6.11e+01
20,4.00e+00,6.11e+01
21,4.20e+00,6.10e+01
22,4.40e+00,6.10e+01
23,4.60e+00,6.10e+01
24,4.80e+00,6.10e+01
25,5.00e+00,6.09e+01
26,5.20e+00,6.09e+01
27,5.40e+00,6.08e+01
28,5.60e+00,6.08e+01
29,5.80e+00,6.07e+01
30,6.00e+00,6.07e+01
31,6.20e+00,6.06e+01
32,6.40e+00,6.06e+01
33,6.60e+00,6.05e+01
34,6.80e+00,6.05e+01
35,7.00e+00,6.04e+01
36,7.20e+00,6.03e+01
37,7.40e+00,6.03e+01
38,7.60e+00,6.02e+01
39,7.80e+00,6.01e+01
40,8.00e+00,6.01e+01
41,8.20e+00,6.00e+01
42,8.40e+00,5.99e+01
43,8.60e+00,5.99e+01
44,8.80e+00,5.98e+01
45,9.00e+00,5.97e+01
46,9.20e+00,5.96e+01
47,9.40e+00,5.95e+01
48,9.60e+00,5.95e+01
49,9.80e+00,5.94e+01
50,1.00e+01,5.93e+01
51,1.02e+01,5.92e+01
52,1.04e+01,5.91e+01
53,1.06e+01,5.90e+01
54,1.08e+01,5.89e+01
55,1.10e+01,5.88e+01
56,1.12e+01,5.86e+01
57,1.14e+01,5.85e+01
58,1.16e+01,5.84e+01
59,1.18e+01,5.83e+01
60,1.20e+01,5.82e+01
61,1.22e+01,5.80e+01
62,1.24e+01,5.79e+01
63,1.26e+01,5.78e+01
64,1.28e+01,5.76e+01
65,1.30e+01,5.75e+01
66,1.32e+01,5.74e+01
67,1.34e+01,5.72e+01
68,1.36e+01,5.71e+01
69,1.38e+01,5.69e+01
70,1.40e+01,5.67e+01
71,1.42e+01,5.65e+01
72,1.44e+01,5.63e+01
73,1.46e+01,5.61e+01
74,1.48e+01,5.59e+01
75,1.50e+01,5.56e+01
76,1.52e+01,5.53e+01
77,1.54e+01,5.50e+01
78,1.56e+01,5.46e+01
79,1.58e+01,5.42e+01
80,1.60e+01,5.37e+01
81,1.62e+01,5.30e+01
82,1.64e+01,5.21e+01
83,1.66e+01,5.11e+01
84,1.68e+01,5.01e+01
85,1.70e+01,4.89e+01
86,1.72e+01,4.73e+01
87,1.74e+01,4.54e+01
88,1.76e+01,4.36e+01
89,1.78e+01,4.17e+01
90,1.80e+01,3.93e+01
91,1.82e+01,3.68e+01
92,1.84e+01,3.44e+01
93,1.86e+01,3.20e+01
94,1.88e+01,2.93e+01
95,1.90e+01,2.63e+01
96,1.92e+01,2.33e+01
97,1.94e+01,2.03e+01
98,1.96e+01,1.77e+01
99,1.98e+01,1.51e+01
100,2.00e+01,1.28e+01
